	RCC4-EV	RCC4-VHL
A1BG	4.01389414226583	0.695489519329847
A1BG-AS1	0	0
A1CF	0	0
A2M	0	0
A2M-AS1	0.600329196890133	0
A2ML1	0	0
A2ML1-AS1	8.68137436224371	0
A2ML1-AS2	0	0
A2MP1	0	0
A3GALT2	1.42670039811118	7.1958794664494
A4GALT	101.863298873055	117.529640130187
A4GNT	0	0
AAAS	813.385997925625	570.879143853615
AACS	277.893862664442	188.364932692908
AACSP1	1.37255396880785	4.55814653696904
AADAC	0	0
AADACL2	0	0
AADACL2-AS1	0	0
AADACL3	0	0
AADACL4	0	0
AADACP1	0	0
AADAT	339.644036358811	179.622543980866
AAGAB	355.456553474333	681.631439120959
AAK1	1035.6163063517	781.664711286676
AAMDC	470.849884749661	231.443412302121
AAMP	1868.93464915644	1886.99195122838
AANAT	0	0
AAR2	678.700487269628	448.720538794389
AARD	0.5701038865326	0.575225767786588
AARS	1492.94700732296	2202.47026419009
AARS2	134.584063453095	106.633028633933
AARSD1	450.534724615368	433.235652969001
AARSP1	0	0
AASDH	77.6927002542504	51.1145114808091
AASDHPPT	663.495067654658	725.418882966401
AASS	74.9772955007097	43.2822751862856
AATBC	0	0
AATF	2380.64874741127	1589.1201829771
AATK	0	0
ABALON	23.8226111204786	5.65850562214471
ABAT	17.9829187201151	72.7538790899523
ABCA1	77.2023656608879	54.4755207752046
ABCA10	3.37974276507159	0.410864672941267
ABCA11P	26.1833374240721	30.9825802446654
ABCA12	17.3957006943206	65.5243508954243
ABCA13	1.42347095036344	0.567784222153827
ABCA17P	130.616773916051	3.53821704730244
ABCA2	223.220221181799	326.518597675302
ABCA3	560.361648254231	343.001564155608
ABCA4	0	1.31089202069893
ABCA5	95.9941160067319	18.1439727553797
ABCA6	0	0
ABCA7	21.8112259759438	46.9929800291628
ABCA8	0.816489477873187	0
ABCA9	0	0.206422004943533
ABCA9-AS1	0	0
ABCB1	445.444418796563	674.540654833497
ABCB10	165.91075085868	145.241385104007
ABCB10P1	0	0
ABCB10P3	0	0
ABCB10P4	0	0
ABCB11	1.60192211093882	1.63213460058478
ABCB4	0.625120526306869	0.347031056439275
ABCB5	1.16880869054363	9.60739702152824
ABCB6	350.800134596342	197.168128919776
ABCB7	366.76159306847	175.371917889764
ABCB8	222.462577269772	301.866279560847
ABCB9	37.7117890531159	21.7656264677819
ABCC1	289.389497689726	408.946695440789
ABCC10	118.44196862521	108.433844612889
ABCC11	0.353518169319306	2.84980746397103
ABCC12	0	0.431343197495872
ABCC13	0	0
ABCC2	90.873256131391	643.470850538614
ABCC3	1342.46806616776	1872.08661145431
ABCC4	411.890456697607	716.456026569935
ABCC5	222.520436597085	421.799729251276
ABCC5-AS1	0	0
ABCC6	15.3444599102165	74.5739365078718
ABCC6P1	0	11.8975088999028
ABCC6P2	0	0
ABCC8	0	0
ABCC9	13.9071042683389	76.3237464963015
ABCD1	35.6656341657643	50.4812378506698
ABCD1P2	0	0
ABCD1P3	0	0
ABCD1P4	0	0
ABCD1P5	0	0
ABCD2	0	0
ABCD3	243.296479534801	304.301492063017
ABCD4	285.346615869773	229.660467451935
ABCE1	929.776822456783	853.604721282271
ABCF1	1362.28904344461	1160.57222795459
ABCF2	1043.45678666686	1359.53102875147
ABCF2P1	0	0
ABCF2P2	0	0
ABCF3	494.051571692104	479.904516573289
ABCG1	0.820511784050005	2.39309449581411
ABCG2	0	0
ABCG4	0	0
ABCG5	0	0
ABCG8	0	0
ABHD1	0	0.41927685496091
ABHD10	487.846294203891	581.118215810057
ABHD11	368.82348909634	278.377602217576
ABHD11-AS1	33.0314103801576	2.5021673807792
ABHD12	1355.49637388851	1027.0360134892
ABHD12B	2.92363645023295	2.94827947702449
ABHD13	87.4665368417201	102.769381947821
ABHD14A	316.190974618327	233.083350057972
ABHD14A-ACY1	6.37212584250929	9.01224465968155
ABHD14B	1053.23246036532	850.095851711607
ABHD15	113.44206800533	78.8155033260293
ABHD15-AS1	0	0
ABHD16A	325.124729355156	237.623073535677
ABHD16B	0	0.927985482117067
ABHD17A	652.74999882957	572.243211522646
ABHD17AP1	0	0
ABHD17AP3	0	0
ABHD17AP4	0	0
ABHD17AP5	0	0
ABHD17AP6	0	0
ABHD17AP7	0	0
ABHD17AP8	0	0
ABHD17AP9	0	0
ABHD17B	68.1336122729998	89.9926097060056
ABHD17C	76.9988911147702	162.644552943249
ABHD18	61.8820589257428	57.7399993293203
ABHD2	300.836749012826	542.254867451524
ABHD3	166.854078347196	277.811778300282
ABHD4	363.319059783417	382.28807191465
ABHD5	735.004632442678	473.990828741825
ABHD6	32.2584894398631	44.5378409329323
ABHD8	182.886797387889	224.436635642339
ABI1	954.420564177646	971.471552880426
ABI1P1	0	0
ABI2	587.380368392401	685.131401675366
ABI3	19.8014652242882	2.51998141329138
ABI3BP	2.40444954525594	3.18168897994054
ABL1	640.32681613231	478.079415652575
ABL2	239.878698903144	217.658872073603
ABLIM1	680.526246851704	1274.7519925607
ABLIM2	2.199427958301	5.604892235834
ABLIM3	3027.3961311023	551.799839230916
ABO	0.391768754020011	6.72057215025359
ABR	1589.29634324393	989.418733866387
ABRA	0	0
ABRACL	2360.71827831916	2360.78416112053
ABRAXAS1	171.689315807962	127.29896213955
ABRAXAS2	227.404193126108	262.856707685443
ABT1	287.893393172054	222.49797026436
ABT1P1	0	0
ABTB1	143.751750102525	114.32370427266
ABTB2	320.624116827484	113.698386054476
ACAA1	382.989142564602	375.124394737742
ACAA2	1239.69851077226	1654.23966430668
ACACA	380.696466719837	232.06387733837
ACACB	24.7887187853231	41.8487974995493
ACAD10	316.764694712817	347.855012539222
ACAD11	224.294737733313	140.414124870753
ACAD8	187.991896784701	136.76064951053
ACAD9	1029.42137469908	699.60958531087
ACADL	1.19481831461969	2.69168889333938
ACADM	739.717711691334	1016.30166955833
ACADS	191.909932409089	130.415333000279
ACADSB	205.350661879032	158.524848571861
ACADVL	4861.27353924023	3496.433986628
ACAN	0	0
ACAP1	172.692204368712	7.99713028777733
ACAP2	183.279262310286	194.816752756511
ACAP2-IT1	0	0
ACAP3	122.7157076141	120.854583621579
ACAT1	2447.46563455167	1992.33964793314
ACAT2	762.407792228902	492.256169109737
ACBD3	462.230875471169	556.406765004347
ACBD3-AS1	6.70356000387703	3.37903267985382
ACBD4	287.093921143391	114.907285126208
ACBD5	489.358894044489	390.789628610229
ACBD6	917.787488024315	853.402981170488
