KEGG Pathway and Enzyme ID	Gene name
00190	1.6.5.3	MT-ND2
00190	1.9.3.1	MT-CO1
00190	1.6.5.3	MT-ND4
00190	1.6.5.3	MT-ND5
00860	1.14.14.18	HMOX1
00561	3.1.1.3	PNPLA4
00970	6.1.1.14	POLG2
00240	2.7.7.7	POLG2
00230	2.7.7.7	POLG2
00564	2.7.8.5	CRLS1
00450	2.7.9.3	SEPHS1
00900	5.3.3.2	IDI1
00983	2.5.1.18	GSTP1
00980	2.5.1.18	GSTP1
00480	2.5.1.18	GSTP1
00982	2.5.1.18	GSTP1
00900	5.3.3.2	IDI2
00531	3.2.1.50	NAGLU
00270	2.1.1.37	TRDMT1
00071	2.3.1.21	CPT1A
00770	2.7.1.24	COASY
00860	1.14.14.18	HMOX2
00750	2.7.1.35	PDXK
00680	4.1.2.13	AC093512.2
00051	4.1.2.13	AC093512.2
00030	4.1.2.13	AC093512.2
00010	4.1.2.13	AC093512.2
00710	4.1.2.13	AC093512.2
00240	6.3.5.5	CPS1
00250	6.3.5.5	CPS1
00790	1.14.16.2	TH
00350	1.14.16.2	TH
00950	1.14.16.2	TH
04660	2.7.10.2	JAK3
00983	2.7.4.6	NME8
00240	2.7.4.6	NME8
00230	2.7.4.6	NME8
00680	4.1.2.13	ALDOA
00051	4.1.2.13	ALDOA
00030	4.1.2.13	ALDOA
00010	4.1.2.13	ALDOA
00710	4.1.2.13	ALDOA
00650	4.2.1.17+1.1.1.35	CRYL1
00071	4.2.1.17+1.1.1.35	CRYL1
00650	5.1.2.3+4.2.1.17+1.1.1.35	CRYL1
00627	4.2.1.17	CRYL1
00280	4.2.1.17+1.1.1.35	CRYL1
00120	1.1.1.35	CRYL1
00281	4.2.1.17+1.1.1.35	CRYL1
00720	4.2.1.17+1.1.1.35	CRYL1
00071	5.1.2.3+4.2.1.17+1.1.1.35	CRYL1
00310	4.2.1.17+1.1.1.35	CRYL1
00360	4.2.1.17	CRYL1
00930	4.2.1.17+1.1.1.35	CRYL1
00640	4.2.1.17	CRYL1
00592	4.2.1.17	CRYL1
00623	1.1.1.35	CRYL1
00410	4.2.1.17	CRYL1
00903	4.2.1.17	CRYL1
00062	4.2.1.17+1.1.1.35	CRYL1
00362	4.2.1.17+1.1.1.35	CRYL1
00380	4.2.1.17+1.1.1.35	CRYL1
00561	2.7.1.30	XYLB
00563	2.4.1.198	PIGA
04658	3.1.3.16	PPM1L
04660	3.1.3.16	PPM1L
00561	2.7.1.30	GK3P
00860	4.2.1.75	UROS
00230	2.7.4.8	MPP6
00010	1.2.1.12	GAPDH
00710	1.2.1.12	GAPDH
00280	1.1.1.31	HIBADH
04070	2.7.11.13	PRKCI
00240	2.7.7.7	POLM
00230	2.7.7.7	POLM
00450	1.8.1.9	TXNRD3
00350	3.7.1.2	FAH
00643	3.7.1.2	FAH
04660	2.7.10.2	JAK2
00250	4.3.2.1	AC068533.4
00220	4.3.2.1	AC068533.4
00983	2.7.4.14+2.7.4.6	CMPK2
00240	2.7.4.14+2.7.4.6	CMPK2
00230	2.7.4.6	CMPK2
00350	1.11.1.8	TPO
00020	1.1.1.37	MDH2
00720	1.1.1.37	MDH2
00620	1.1.1.37	MDH2
00680	1.1.1.37	MDH2
00270	1.1.1.37	MDH2
00630	1.1.1.37	MDH2
00710	1.1.1.37	MDH2
00561	3.1.1.3	PNLIPRP1
00970	6.1.1.3	MRPL39
00250	4.3.2.1	ASL
00220	4.3.2.1	ASL
04660	2.7.10.2	BMX
00680	4.4.1.22	CENPV
00785	2.3.1.181	LIPT2
04660	2.7.10.2	PTK2
00562	2.7.1.134+2.7.1.159	ITPK1
04070	2.7.1.159	ITPK1
00561	2.7.1.107	DGKE
04070	2.7.1.107	DGKE
00564	2.7.1.107	DGKE
00360	2.6.1.1	GOT2
00960	2.6.1.1	GOT2
00400	2.6.1.1	GOT2
00270	2.6.1.1	GOT2
00330	2.6.1.1	GOT2
00220	2.6.1.1	GOT2
00250	2.6.1.1	GOT2
00350	2.6.1.1	GOT2
00710	2.6.1.1	GOT2
00950	2.6.1.1	GOT2
00401	2.6.1.1	GOT2
00290	4.2.1.33	ACO1
00630	4.2.1.3	ACO1
00720	4.2.1.3	ACO1
00020	4.2.1.3	ACO1
00130	4.1.1.90	GGCX
00270	2.5.1.6	MAT2A
00982	1.14.14.1	CYP3A5
00380	1.14.14.1	CYP3A5
00590	1.14.14.1	CYP3A5
00071	1.14.14.1	CYP3A5
00830	1.14.14.1	CYP3A5
00627	1.14.14.1	CYP3A5
00232	1.14.14.1	CYP3A5
00591	1.14.14.1	CYP3A5
00140	1.14.14.1	CYP3A5
00980	1.14.14.1	CYP3A5
00511	3.2.1.96	ENGASE
04070	2.7.1.158	IPPK
00562	2.7.1.158	IPPK
00564	2.3.1.15	GPAM
00561	2.3.1.15	GPAM
05165	2.7.11.1	WNK1
04150	2.7.11.1	WNK1
04926	2.7.11.1	WNK1
04714	2.7.11.1	WNK1
04151	2.7.11.1	WNK1
00240	1.3.5.2	DHODH
00513	2.4.1.142	ALG1L
00510	2.4.1.142	ALG1L
00230	2.7.4.8	MAGI2
00561	3.1.1.3	PNLIPRP2
00534	2.4.2.26	XYLT2
00532	2.4.2.26	XYLT2
00010	4.2.1.11	ENO4
00680	4.2.1.11	ENO4
00910	4.2.1.1	CA5B
00260	3.1.3.3	PSPH
00680	3.1.3.3	PSPH
00982	1.14.14.1	CYP3A7
00380	1.14.14.1	CYP3A7
00590	1.14.14.1	CYP3A7
00071	1.14.14.1	CYP3A7
00830	1.14.14.1	CYP3A7
00627	1.14.14.1	CYP3A7
00232	1.14.14.1	CYP3A7
00591	1.14.14.1	CYP3A7
00140	1.14.14.1	CYP3A7
00980	1.14.14.1	CYP3A7
00982	1.14.14.1	CYP3A7-CYP3A51P
00380	1.14.14.1	CYP3A7-CYP3A51P
00590	1.14.14.1	CYP3A7-CYP3A51P
00071	1.14.14.1	CYP3A7-CYP3A51P
00830	1.14.14.1	CYP3A7-CYP3A51P
00627	1.14.14.1	CYP3A7-CYP3A51P
00232	1.14.14.1	CYP3A7-CYP3A51P
00591	1.14.14.1	CYP3A7-CYP3A51P
00140	1.14.14.1	CYP3A7-CYP3A51P
00980	1.14.14.1	CYP3A7-CYP3A51P
00760	6.3.4.21	NAPRT
00982	1.14.14.1	CYP2D6
00380	1.14.14.1	CYP2D6
00590	1.14.14.1	CYP2D6
00071	1.14.14.1	CYP2D6
00830	1.14.14.1	CYP2D6
00627	1.14.14.1	CYP2D6
00232	1.14.14.1	CYP2D6
00591	1.14.14.1	CYP2D6
00140	1.14.14.1	CYP2D6
00980	1.14.14.1	CYP2D6
00030	1.1.1.44	PGD
00480	1.1.1.44	PGD
00600	3.1.3.4	PLPP5
00565	3.1.3.4	PLPP5
00561	3.1.3.4	PLPP5
00564	3.1.3.4	PLPP5
04658	3.1.3.16	DUPD1
04660	3.1.3.16	DUPD1
00970	6.1.1.9	VARS
00220	3.5.3.6	DDAH2
00982	1.14.14.1	CYP3A4
00380	1.14.14.1	CYP3A4
00590	1.14.14.1	CYP3A4
00071	1.14.14.1	CYP3A4
00830	1.14.14.1	CYP3A4
00627	1.14.14.1	CYP3A4
00232	1.14.14.1	CYP3A4
00591	1.14.14.1	CYP3A4
00140	1.14.14.1	CYP3A4
00980	1.14.14.1	CYP3A4
00310	2.1.1.43	NSD3
00230	2.7.4.8	MPP1
00030	5.3.1.9	GPI
00500	5.3.1.9	GPI
00520	5.3.1.9	GPI
00010	5.3.1.9	GPI
00564	2.7.8.11	CDIPT
00562	2.7.8.11	CDIPT
04070	2.7.8.11	CDIPT
04658	3.1.3.16	DUSP3
04660	3.1.3.16	DUSP3
04658	3.1.3.16	PPP4C
04660	3.1.3.16	PPP4C
04150	2.7.11.24	MAPK14
00230	1.17.4.1	RRM1
00983	1.17.4.1	RRM1
00240	1.17.4.1	RRM1
00480	1.17.4.1	RRM1
00940	1.11.1.7	PXDN
00240	2.4.2.4	TYMP
00983	2.4.2.4	TYMP
04658	3.1.3.16	SSU72P5
04660	3.1.3.16	SSU72P5
04658	3.1.3.16	PPP2CA
04660	3.1.3.16	PPP2CA
00330	3.4.11.5	ABHD5
04658	3.1.3.16	SSU72P2
04660	3.1.3.16	SSU72P2
04658	3.1.3.16	SSU72P4
04660	3.1.3.16	SSU72P4
04658	3.1.3.16	SSU72P3
04660	3.1.3.16	SSU72P3
04658	3.1.3.16	SSU72P7
04660	3.1.3.16	SSU72P7
00965	2.1.1.6	AP000812.4
00140	2.1.1.6	AP000812.4
00350	2.1.1.6	AP000812.4
00561	2.7.1.107	DGKH
04070	2.7.1.107	DGKH
00564	2.7.1.107	DGKH
00600	3.2.1.18	NEU1
00511	3.2.1.18	NEU1
05165	2.7.11.1	MAP4K2
04150	2.7.11.1	MAP4K2
04926	2.7.11.1	MAP4K2
04714	2.7.11.1	MAP4K2
04151	2.7.11.1	MAP4K2
00670	1.5.1.3	DHFR
00790	1.5.1.3	DHFR
00510	2.4.1.117	ALG5
00310	2.1.1.43	UVSSA
00480	1.8.1.7	GSR
00020	1.8.1.4	DLD
00260	1.8.1.4	DLD
00280	1.8.1.4	DLD
00640	1.8.1.4	DLD
00620	1.8.1.4	DLD
00010	1.8.1.4	DLD
00770	4.1.1.11	GADL1
00430	4.1.1.29	GADL1
00410	4.1.1.11	GADL1
00720	1.5.1.5+3.5.4.9	MTHFD2
00670	1.5.1.5+3.5.4.9	MTHFD2
04658	3.1.3.16	DUSP13
04660	3.1.3.16	DUSP13
00062	2.3.1.199	ELOVL3
05165	2.7.11.1	RPS6KA3
04150	2.7.11.1	RPS6KA3
04926	2.7.11.1	RPS6KA3
04714	2.7.11.1	RPS6KA3
04151	2.7.11.1	RPS6KA3
04150	2.7.11.24	MAPK13
04658	3.1.3.16	DUSP8
04660	3.1.3.16	DUSP8
00600	3.1.4.12	ENPP7
00310	1.14.11.4	PLOD1
00982	1.14.14.1	CYP3A43
00380	1.14.14.1	CYP3A43
00590	1.14.14.1	CYP3A43
00071	1.14.14.1	CYP3A43
00830	1.14.14.1	CYP3A43
00627	1.14.14.1	CYP3A43
00232	1.14.14.1	CYP3A43
00591	1.14.14.1	CYP3A43
00140	1.14.14.1	CYP3A43
00980	1.14.14.1	CYP3A43
04150	2.7.11.11	PRKACA
00970	6.1.1.3	TARS
00230	2.7.4.8	MPP3
00140	1.14.14.23	CYP7A1
00120	1.14.14.23	CYP7A1
05165	2.7.11.1	MAST3
04150	2.7.11.1	MAST3
04926	2.7.11.1	MAST3
04714	2.7.11.1	MAST3
04151	2.7.11.1	MAST3
04660	2.7.10.2	BAZ1B
00480	2.3.2.2+3.4.19.13	GGT1
00430	2.3.2.2	GGT1
00460	2.3.2.2	GGT1
04150	2.7.11.24	MAPK1
00965	2.1.1.6	LRTOMT
00140	2.1.1.6	LRTOMT
00350	2.1.1.6	LRTOMT
00051	4.2.1.68	ENOSF1
00970	6.1.1.9	VARS2
05165	2.7.11.1	PAK2
04150	2.7.11.1	PAK2
04926	2.7.11.1	PAK2
04714	2.7.11.1	PAK2
04151	2.7.11.1	PAK2
00670	2.1.2.2	GART
00230	2.1.2.2	GART
00970	2.1.2.9	GART
00670	2.1.2.9	GART
00513	2.4.1.142	ALG1
00510	2.4.1.142	ALG1
05165	2.7.11.1	TTN
04150	2.7.11.1	TTN
04926	2.7.11.1	TTN
04714	2.7.11.1	TTN
04151	2.7.11.1	TTN
00860	4.2.1.24	ALAD
00240	2.1.1.45	TYMS
00670	2.1.1.45	TYMS
04658	3.1.3.16	PPM1F
04660	3.1.3.16	PPM1F
00620	2.7.1.40	PKLR
00010	2.7.1.40	PKLR
00230	2.7.1.40	PKLR
00310	1.2.4.2	OGDHL
00380	1.2.4.2	OGDHL
00020	1.2.4.2	OGDHL
00062	4.2.1.134	HACD1
00531	3.2.1.35	HYAL3
00970	6.1.1.20	FARS2
00770	2.7.1.33	PANK2
00480	2.3.2.2+3.4.19.13	GGTLC3
00430	2.3.2.2	GGTLC3
