Gene name	NCBI gene ID	KEGG Pathway and Enzyme ID
MT-ND1	4535	
MT-ND2	4536	00190+1.6.5.3
MT-CO1	4512	00190+1.9.3.1
MT-CO2	4513	
MT-ATP8	4509	
MT-ATP6	4508	
MT-CO3	4514	
MT-ND3	4537	
MT-ND4L	4539	
MT-ND4	4538	00190+1.6.5.3
MT-ND5	4540	00190+1.6.5.3
MT-ND6	4541	
MT-CYB	4519	
HAND2	9464	
CCIN	881	
ADO	84890	
HOXA11	3207	
KIR2DS4	3809	
KIR3DL2	3812	
ZBTB34	403341	
MBOAT4	619373	
SLC16A13	201232	
KRT37	8688	
SHISA9	729993	
HMOX1	3162	00860+1.14.14.18
SLC38A3	10991	
SPATA31A5	727905	
C2CD2	25966	
SEMA3G	56920	
REG1A	5967	
CTSO	1519	
PNPLA4	8228	00561+3.1.1.3
ZC3H3	23144	
DEAF1	10522	
IL20RB	53833	
WNT7B	7477	
ANKRD18A	253650	
NPIPB9	100507607	
PABPN1L	390748	
POLG2	11232	00970+6.1.1.14
POLG2	11232	00240+2.7.7.7
POLG2	11232	00230+2.7.7.7
ABCA7	10347	
SULT1B1	27284	
MAP2K3	5606	
SLC22A9	114571	
SLC16A11	162515	
KRT31	3881	
PAXBP1	94104	
FEV	54738	
SH2D6	284948	
CRLS1	54675	
BTNL2	56244	
DCTN6	10671	
CRLS1	54675	00564+2.7.8.5
TYW1B	441250	
POLG2	11232	
AC207056.1	100653049	
EPHA2	1969	
VCX2	51480	
TEX29	121793	
HILPDA	29923	
CACNG2	10369	
OR9A2	135924	
CCDC34	91057	
METTL21A	151194	
FAM95C	100289137	
NEDD9	4739	
LILRB4	11006	
CCR8	1237	
RRAS2	22800	
PHAX	51808	
SEPHS1	22929	00450+2.7.9.3
ZNF595	152687	
POF1B	79983	
ZNF449	203523	
FSTL4	23105	
CU633846.1	3806	
NCK1	4690	
CAPN13	92291	
RPA1	6117	
AC098850.3		
OR6V1	346517	
GCA	25801	
KRT34	3885	
SMIM10L2A	399668	
WWP2	11060	
NSUN7	79730	
BMP7	655	
TUBB	203068	
LSM14A	26065	
DDX39B	7919	
CNOT3	4849	
PIP	5304	
LEPROTL1	23484	
RCN2	5955	
IDI1	3422	00900+5.3.3.2
UPK2	7379	
GSTP1	2950	00983+2.5.1.18
GSTP1	2950	00980+2.5.1.18
GSTP1	2950	00480+2.5.1.18
GSTP1	2950	00982+2.5.1.18
RCL1	10171	
TEX43	389320	
B3GNT3	10331	
MKI67	4288	
PPP1R18	107987457	
PPP1R18	170954	
TAS2R39	259285	
SNRPG	6637	
SLF2	55719	
VCX3B	425054	
GSTP1	2950	
CCDC144A	9720	
PANX1	24145	
INTS6L	203522	
OR6J1	79549	
TUBB4A	10382	
ITGA11	22801	
METTL2B	55798	
BCL9L	283149	
AAMDC	28971	
NLRC5	84166	
PRR34		
IDI2	91734	00900+5.3.3.2
HLA-DRA	3122	
TRDMT1	1787	
AADACL2	344752	
NAGLU	4669	00531+3.2.1.50
MCRIP1	348262	
KCNH7	90134	
LENG1	79165	
TAP1	6890	
SMYD4	114826	
ESCO2	157570	
CXCR5	643	
KIR3DX1		
MMD	23531	
SLC9A3R1	9368	
AC001226.2		
RHOG	391	
KRT33B	3884	
RNASE9	390443	
PLCXD3	345557	
KRT33A	3883	
FBXL3	26224	
INTS4	92105	
HSD17B1	3292	
GABRE	2564	
ZNF718	255403	
TRIM49D1	399939	
COASY	80347	
DSC2	1824	
OR8J2		
MZT1	440145	
UBN1	29855	
ZFP37	7539	
CTR9	9646	
TRDMT1	1787	00270+2.1.1.37
