10 NAT2 00232+2.3.1.5 0.448149231 3.766170637
10 NAT2 00633+2.3.1.5 0.448149231 3.766170637
10 NAT2 00983+2.3.1.5 0.448149231 3.766170637
100 ADA  1.976790566 2.200121759
100 ADA 00230+3.5.4.4 1.976790566 2.200121759
1000 CDH2  0 0.571963007
10000 AKT3 04150+2.7.11.1 0 2.297793867
10000 AKT3 04151+2.7.11.1 0 2.297793867
10000 AKT3 04714+2.7.11.1 0 2.297793867
10000 AKT3 04926+2.7.11.1 0 2.297793867
10000 AKT3 05165+2.7.11.1 0 2.297793867
10001 MED6  3.623516391 3.076513526
10002 NR2E3  0 0
10003 NAALAD2  5.098019511 0.902722703
10004 NAALADL1  0 5.056539697
10005 ACOT8  3.149902323 3.680450359
10006 ABI1  4.438891471 4.363863032
10007 GNPDA1 00520+3.5.99.6 3.561257517 2.979407052
10008 KCNE3  3.6495814 3.404347668
10009 ZBTB33  2.555183208 2.780441247
1001 CDH3  4.489343575 0.269031705
10010 TANK  3.818288369 3.93803282
100101267 POM121C  1.683049873 2.012584238
100101467 ZSCAN30  1.342097258 1.892164759
10011 SRA1  3.247921389 2.731401649
100113407 TMEM170B  1.265356278 1.244031549
100125288 ZGLP1  0 0.074341092
100127983 C8orf88  0 2.386769266
100128071 FAM229A  0.24897202 0.074341092
100128327 TRAPPC3L  0 0.269031705
100128338 IQANK1  0.353511395 0.269031705
100128569 C19orf71  0 0.074341092
100128927 ZBTB42  0.24897202 0
100129128 KHDC1L  0 0
100129250 SMIM27  0 0
100129271 C1orf68  0 0
100129361 SMIM10L1  4.280020874 3.71299175
100129543 ZNF730  0 0
100129654 TCF24  0 0
100129792 CCDC152  0 0.431924683
100129842 ZNF737  0.353511395 2.428454209
10013 HDAC6  2.375218443 2.751306992
100130311 C17orf107  0 0.431924683
100130519 TMEM221  0.132214463 0.074341092
100130613 PRR32  0 0
100130705 ATP6V1FNB  0 0
100130733 LRRC70  0 0
100130890 TSTD3  1.378366645 2.033001922
100130933 SMIM6  1.851821849 1.970453991
100130958 SYCE1L  1.09156854 1.498022909
100130988 SPATA48  0 0
100131017 ZNF316  1.782947003 2.290009165
100131211 NEMP2  2.753706535 1.329266151
100131244 ANKRD63  0.24897202 0.143535956
100131378 C11orf91  0 0
100131390 SP9  0.448149231 0
100131755 ARMCX4  0.820738686 1.98115412
100131801 PET100  2.926871568 2.642083654
100131897 INSYN2B  0 0
100132074 FOXO6  0.132214463 0.571963007
100132916 SHISAL2B  0 0.074341092
100133941 CD24  4.674287178 4.158478517
100134934 TEN1  0 0
10014 HDAC5  2.401168824 3.237273863
100141515 C17orf99  0 0
10015 PDCD6IP  4.260260294 4.925459382
10016 PDCD6  4.591831341 4.242877012
100169851 PATE3  0 0
10017 BCL2L10  1.378366645 1.498022909
100170229 SRRM5  0 0
100170765 ERICH4  0 4.673177309
100170841 EPOP  1.758892628 0.326328672
10018 BCL2L11  2.949331892 3.145279124
100188893 TOMM6  5.749251894 4.588977667
10019 SH2B3  0.687869026 2.258249804
100190949 C5orf52  0 0.074341092
1002 CDH4  0 0.074341092
10020 GNE  2.498718545 2.407828926
10021 HCN4  0 0
10023 FRAT1  0.534599975 2.002216907
10024 TROAP  4.481376351 1.657194914
10025 MED16  3.699757744 3.634667367
10026 PIGK  3.179742015 3.298975101
100271715 ARHGEF33  0 0
100271846 ERVV-2  0.132214463 0
100287226 ZNF729  0 0
100287482 SMKR1  0.132214463 0
100287718 ANKRD66  0 0
100287932 TIMM23  0.132214463 0.143535956
100288413 ERVMER34-1  1.265356278 0.208251188
100288797 TMEM239  0 0
100289187 TMEM225B  0 0
100289635 ZNF605  1.447182629 2.174136756
100289678 ZNF783  2.033867958 1.844512708
1003 CDH5  0.132214463 2.736415253
100302736 TMED7-TICAM2  1.895236641 2.500636692
100329135 TRPC5OS  0 0
10036 CHAF1A  2.639377462 1.462905526
10038 PARP2  3.347180939 2.556049901
10039 PARP3  1.224658046 3.511256459
1004 CDH6  2.264107988 2.082293519
10040 TOM1L1  3.414489938 4.655721783
10042 HMGXB4  3.027622188 3.222004419
100423062 IGLL5  0 1.781565372
10043 TOM1  3.013835948 4.312464139
100431172 KLRF2  0 0.269031705
10044 SH2D3C  0.614168056 1.892164759
10045 SH2D3A  1.758892628 2.642083654
10046 MAMLD1  0 0.655491988
100462981 MTRNR2L12  0.687869026 1.515129711
100462983 MTRNR2L3  0.353511395 0.431924683
100463285 MTRNR2L4  0.132214463 0.208251188
100463289 MTRNR2L5  0.687869026 0.143535956
100463488 MTRNR2L10  0.353511395 0.143535956
10047 CST8  0 0
10048 RANBP9  2.576905607 2.939394947
10049 DNAJB6  2.139090722 2.579725571
100499483 CCDC180  0 0
1005 CDH7  0 0
10050 SLC17A4  0 2.695584446
100500938 CCDC179  0 0
100505478 TEX48  0 0
100505753 KRTAP16-1  0 0
100505841 AC010255.3  0 0
100505876 CEBPZOS  3.119144764 3.131899105
100505989 SMIM31  0 3.586687301
100506013 APELA  0.820738686 0
100506049 LRRC72  0 0
100506127 GVQW3  1.806436331 1.221537312
100506144 TMEM35B  2.203551749 2.863073062
100506164 HSFX1  0 0
100506243 KRBOX1  0 0.838095947
100506540 SPTY2D1OS  0 0
100506581 C16orf95  0 0.074341092
100506658 OCLN  4.736921495 3.98503411
100506736 SLFN12L  0 2.138405177
100506742 CASP12  0 0.074341092
100507027 MRLN  0 0
100507050 TPBGL  0 0.143535956
100507055 LRCOL1  0 0.269031705
100507203 SMLR1  1.60097944 1.937649002
100507341 SMIM18  0 0
100507436 MICA  2.587592383 0.480815757
100507537 DWORF  0 0
10051 SMC4  3.824478912 2.567957802
10052 GJC1  2.139090722 1.244031549
100526783 C15orf38-AP3S2  1.09156854 1.948704004
100528021 ST20-MTHFS  0 0
100528030 POC1B-GALNT4  0 0.527427501
100529063 BCL2L2-PABPN1  0 0.326328672
10053 AP1M2  4.076770358 3.80813794
100532726 NDUFC2-KCTD14  2.475208651 1.564761363
10054 UBA2  5.167238337 4.096266133
10055 SAE1  4.581753143 3.087134685
10056 FARSB 00970+6.1.1.20 5.207509867 4.043550069
10057 ABCC5  2.487032686 1.948704004
10058 ABCB6  2.463243134 1.832236244
10059 DNM1L  3.623516391 2.854221791
